num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,status_type_link,status_type_photo,status_type_status,status_type_video
112,12,23,83,84,4,2,4,0,0.0,0.0,0.0,1.0
32,0,0,29,0,0,0,0,0,0.0,1.0,0.0,0.0
48,6,5,39,19,1,2,0,0,0.0,0.0,0.0,1.0
24,0,0,21,0,0,0,0,0,0.0,1.0,0.0,0.0
45,0,0,39,8,0,0,0,0,0.0,1.0,0.0,0.0
46,0,0,40,5,1,0,0,0,0.0,1.0,0.0,0.0
107,15,6,80,64,14,4,0,10,0.0,0.0,0.0,1.0
63,11,5,50,29,1,2,0,3,0.0,0.0,0.0,1.0
43,0,0,38,5,0,0,0,0,0.0,1.0,0.0,0.0
36,0,0,32,3,0,0,0,0,0.0,1.0,0.0,0.0
45,0,0,39,6,1,0,0,0,0.0,1.0,0.0,0.0
47,0,0,41,5,6,0,0,0,0.0,1.0,0.0,0.0
66,0,0,58,5,3,0,0,0,0.0,1.0,0.0,0.0
44,0,0,38,7,1,0,0,0,0.0,1.0,0.0,0.0
73,0,0,64,9,1,0,0,0,0.0,1.0,0.0,0.0
70,2,3,58,21,1,10,0,0,0.0,0.0,0.0,1.0
29,6,7,22,16,0,0,0,0,0.0,0.0,0.0,1.0
32,4,4,25,15,1,0,4,0,0.0,0.0,0.0,1.0
47,4,3,37,26,0,2,0,0,0.0,0.0,0.0,1.0
32,0,0,28,3,0,0,0,0,0.0,1.0,0.0,0.0
50,0,0,42,11,1,0,0,0,0.0,1.0,0.0,0.0
48,0,0,41,6,3,2,0,0,0.0,1.0,0.0,0.0
21,0,0,18,0,3,0,0,0,0.0,1.0,0.0,0.0
4,0,0,3,0,0,0,0,0,0.0,0.0,0.0,1.0
22,0,0,19,0,3,0,0,0,0.0,1.0,0.0,0.0
8,0,0,7,0,0,0,0,0,0.0,0.0,0.0,1.0
16,1,1,13,5,0,0,0,0,0.0,0.0,0.0,1.0
19,2,1,16,5,0,0,0,0,0.0,0.0,0.0,1.0
31,0,0,26,6,0,0,0,0,0.0,1.0,0.0,0.0
54,7,3,44,20,1,2,0,0,0.0,0.0,0.0,1.0
18,0,0,15,2,3,0,0,0,0.0,1.0,0.0,0.0
10,0,0,8,5,0,0,0,0,0.0,0.0,0.0,1.0
20,0,0,16,4,3,2,0,0,0.0,1.0,0.0,0.0
27,0,0,22,7,1,0,0,0,0.0,1.0,0.0,0.0
25,0,0,22,3,0,0,0,0,0.0,1.0,0.0,0.0
62,0,0,54,10,1,0,0,0,0.0,1.0,0.0,0.0
27,3,2,21,15,3,0,0,0,0.0,0.0,0.0,1.0
18,0,1,15,5,1,0,0,0,0.0,1.0,0.0,0.0
